"folio","demandado","addresses","lon","lat","geoAddress"
"0005-2016",1,"EJIDO DE LOS REYES 48 , AMPLIACION SAN FRANCISCO CULHUACAN , CDMX, MEXICO",-99.1257598,19.3363497,"ejido de los reyes 48, ex-ejido de san francisco culhuacan, 04470 ciudad de méxico, cdmx, mexico"
"0005-2016",7,"DOCTOR LICEAGA 180 EDIFICIO A 5 ANDROMEDA DESPACHO 402 , DOCTORES , CDMX, MEXICO",-99.1522934,19.4214041,"calle dr. lucio 103, doctores, 06720 ciudad de méxico, cdmx, mexico"
"0007-2016",1,"AVENIDA JUAN SALVADOR AGRAZ 20 , SANTA FE , CDMX, MEXICO",-99.2790347,19.3603333,"juan salvador agraz 20, santa fe, contadero, 01219 ciudad de méxico, cdmx, mexico"
"0007-2016",7,"AVENIDA BAJA CALIFORNIA 210 DESPACHO 205 , ROMA SUR , CDMX, MEXICO",-99.160826,19.406161,"av. baja california 104, roma sur, 06760 ciudad de méxico, cdmx, mexico"
"0008-2015",1,"ORIENTE 174 427 , MOCTEZUMA SEGUNDA SECCION , CDMX, MEXICO",-99.0917455,19.4350831,"calle ote. 174 427, moctezuma 2da secc, 15530 ciudad de méxico, cdmx, mexico"
"0008-2015",7,"RIO GUADIANA 23 CUARTO PISO , CUAUHTEMOC , CDMX, MEXICO",-99.162773,19.430489,"piso 2, río guadiana 23, col. renacimiento, renacimiento, 06600 ciudad de méxico, cdmx, mexico"
"0010-2011",1,"AVENIDA TALLER 36 , TRANSITO , CDMX, MEXICO",-99.1327908,19.4133922,"av. del taller 36, tránsito, 06820 ciudad de méxico, cdmx, mexico"
"0010-2011",6,"MONTECITO 38 PISO 36 OFICINAS 33 Y 36 , NAPOLES , CDMX, MEXICO",-99.1750036,19.3942171,"32, montecito 38, nápoles, 03810 ciudad de méxico, cdmx, mexico"
"0010-2011",7,"AVENIDA CUAUHTEMOC 1475 INTERIOR 7 , SANTA CRUZ ATOYAC , CDMX, MEXICO",-99.1627617,19.365294,"interior 7, avenida cuauhtémoc 1475, sta cruz atoyac, 03310 ciudad de méxico, cdmx, mexico"
"0011-2013",1,"AVENIDA INSURGENTES SUR 1235 TERCER PISO , EXTREMADURA INSURGENTES , CDMX, MEXICO",-99.178597,19.3758412,"avenida insurgentes sur 1235, extremadura insurgentes, 03740 benito juarez, cdmx, mexico"
"0011-2013",6,"AVENIDA INSTITUTO POLITECNICO NACIONAL 5421 EDIFICIO TRES PLANTA BAJA , MAGDALENA DE LAS SALINAS , CDMX, MEXICO",-99.134806,19.481317,"av instituto politécnico nacional 5421, magdalena de las salinas, 07760 ciudad de méxico, cdmx, mexico"
"0011-2013",7,"MARIANO ESCOBEDO 353-A DESPACHO 1402 , CHAPULTEPEC MORALES , CDMX, MEXICO",-99.1833241,19.4364066,"353-a, calz. gral. mariano escobedo, polanco, polanco v secc, 11560 ciudad de méxico, cdmx, mexico"
"0012-2016",1,"SAN BORJA 526 INTERIOR 10 , DEL VALLE , CDMX, MEXICO",-99.1683411,19.3853122,"interior 10, calle san borja 526, col del valle centro, 03100 ciudad de méxico, cdmx, mexico"
"0012-2016",7,"AVENIDA CENTENARIO 3008 INTEIOR J 201 , BOSQUES DE TARANGO , CDMX, MEXICO",-99.24958,19.3506895,"interior j 201, av centenario 3008, bosques de tarango, 01580 ciudad de méxico, cdmx, mexico"
"0020-2015",1,"MONTESITO 38 PISO 21 OFICINA 28 , NAPOLES , CDMX, MEXICO",-99.1744778,19.3936677,"piso 21 oficina 28, montecito 38, nápoles, 03810 ciudad de méxico, cdmx, mexico"
"0020-2015",3,"MONTESITO 38 PISO 21 OFICINA 28 NAPOLES DELEGACION BENITO JUAREZ ,  , CDMX, MEXICO",-99.1744778,19.3936677,"piso 21 oficina 28, montecito 38, nápoles, 03810 ciudad de méxico, cdmx, mexico"
"0020-2015",7,"YACATAS 325 , NARVARTE , CDMX, MEXICO",-99.1558508,19.3895839,"calle yacatas 325, narvarte poniente, 03020 ciudad de méxico, cdmx, mexico"
"0038-2009",1,"AVENIDA INSURGENTES SUR 4386 , LA JOYA , CDMX, MEXICO",-99.1689089,19.2798907,"insurgentes sur 4386, tlalpan centro ii, 14000 ciudad de méxico, cdmx, mexico"
"0038-2009",7,"AVENIDA SAN FRANCISCO 1384 TORRE B TERCER PISO , DEL VALLE , CDMX, MEXICO",-99.2310062,19.3154571,"avenida san francisco 1384, san jerónimo aculco, ciudad de méxico, cdmx, mexico"
"0041-2015",1,"NEXTENGO 78 , SANTA CRUZ ACAYUCAN , CDMX, MEXICO",-99.1908737,19.4731103,"calle camino a nextengo 78, santa cruz acayucan, 02770 ciudad de méxico, cdmx, mexico"
"0041-2015",2,"ALEJANDRO DE RODAS 3102 A , CUMBRES OCTAVO SECTOR , CDMX, MEXICO",-100.3981255,25.7349715,"calle alejandro de rodas, nuevo león, mexico"
"0041-2015",3,"HERSCHEL 54 , ANZURES , CDMX, MEXICO",-99.1803657,19.4311056,"calle herschel 54, anzures, 11590 ciudad de méxico, cdmx, mexico"
"0041-2015",4,"ZACATECAS 90 , ROMA , CDMX, MEXICO",-99.1585056,19.4159559,"zacatecas 90, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0041-2015",7,"ESCOBEDO 373, PISO 4, DESPACHO 401 Y 404 , CHAPULTEPEC MORALES , CDMX, MEXICO",-99.1835086,19.4398698,"calz. gral. mariano escobedo, ciudad de méxico, cdmx, mexico"
"0041-2016",1,"CALZADA IGNACIO ZARAGOZA 1154 , PANTITLAN , CDMX, MEXICO",-99.0620329,19.4015425,"calz. ignacio zaragoza 1154, agrícola pantitlán, 08100 ciudad de méxico, cdmx, mexico"
"0041-2016",7,"SANTA MARGARITA 518 , INSURGENTES SAN BORJA , CDMX, MEXICO",-99.17573,19.38168,"santa margarita 518, insurgentes san borja, 03100 ciudad de méxico, cdmx, mexico"
"0042-2016",1,"AVENIDA TEZOZOMOC 405 , PETROLERA , CDMX, MEXICO",-99.1962973,19.4844995,"av tezozomoc 405, petrolera, 02480 ciudad de méxico, cdmx, mexico"
"0042-2016",7,"AVENIDA COLONIA DEL VALLE 511 SEGUNDO PISO , DEL VALLE , CDMX, MEXICO",-99.1691629,19.3880786,"avenida colonia del valle 511, col del valle centro, 03100 ciudad de méxico, cdmx, mexico"
"0044-2015",1,"PROLONGACION 5 DE MAYO 2 INETRIOR W , SAN PEDRO MARTIR , CDMX, MEXICO",-99.1738069,19.2674836,"prol. av. 5 de mayo 2, san pedro mártir, 14650 ciudad de méxico, cdmx, mexico"
"0044-2015",7,"AVENIDA CANAL NACIONAL 32-A , UTCM CLHUACAN SECCION III , CDMX, MEXICO",-99.1054805,19.3237504,"canal nacional 32a, canal nacional, 04489 ciudad de méxico, cdmx, mexico"
"0044-2016",1,"SALVADOR DIAZ MIRON 154 , SANTA MARIA LA RIVERA , CDMX, MEXICO",-99.1601776,19.4491738,"calle salvador díaz mirón 154, sta maría la ribera, 06400 ciudad de méxico, cdmx, mexico"
"0044-2016",7,"DE MITLA 22 , NARVARTE , CDMX, MEXICO",-99.1492155,19.399033,"mitla 22, narvarte poniente, 03020 ciudad de méxico, cdmx, mexico"
"0045-2015",1,"PONIENTE 3 MANZANA 16 LOTE 3 , CUCHILLA DEL TESORO , CDMX, MEXICO",-99.0656421,19.4466486,"lote 3, pte. 16 3, cuchilla del tesoro, 07900 ciudad de méxico, cdmx, mexico"
"0045-2015",7,"CALZADA DEL OBRERO MUNDIAL 826 DESPACHO 102 , ALAMOS , CDMX, MEXICO",-99.1413468,19.4028442,"calz. obrero mundial 826, álamos, 03400 ciudad de méxico, cdmx, mexico"
"0046-2015",2,"CALLE PONIENTE 3 MANZANA 16 LOTE 3 , CUCHILLA DEL TESORO , CDMX, MEXICO",-99.0591376,19.4477906,"poniente 3, 07900 ciudad de méxico, cdmx, mexico"
"0046-2015",7,"CALZADA OBRERO MUNDIAL 826 INT 102 , ALAMOS , CDMX, MEXICO",-99.1413468,19.4028442,"int 102, calz. obrero mundial 826, álamos, 03400 ciudad de méxico, cdmx, mexico"
"0046-2016",1,"AVENIDA CHAPULTEPEC 408 , ROMA NORTE , CDMX, MEXICO",-99.1679734,19.4220429,"av chapultepec 408, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0046-2016",7,"INDEPENDENCIA 72 DESPACHO 103 , CENTRO , CDMX, MEXICO",-99.145886,19.4334202,"av independencia 72, colonia centro, centro, 06000 centro, cdmx, mexico"
"0054-2015",1,"AVENIDA ALFREDO DE MUSSET 353 , POLANCO REFORMA , CDMX, MEXICO",-99.1962949,19.4376152,"a. musset 353, polanco, polanco iii secc, 11550 ciudad de méxico, cdmx, mexico"
"0054-2015",7,"PRIMAVERA 27 INTERIOR DOS , JOSE MARIA PINO SUAREZ , CDMX, MEXICO",-99.1327047,19.4282572,"josé maría pino suárez, ciudad de méxico, cdmx, mexico"
"0057-2015",1,"PASEO DE LA REFORMA 390 PISO QUINCE , JUAREZ , CDMX, MEXICO",-99.1697035,19.4252699,"av. paseo de la reforma 390, juárez, 06600 ciudad de méxico, cdmx, mexico"
"0057-2015",7,"ESTRADOS DE LA JUNTA ,  , CDMX, MEXICO",-99.1430379,19.2836881,"kawasaki 3, guadalupe, 14388 ciudad de méxico, cdmx, mexico"
"0059-2016",1,"AVENIDA INSURGENTES SUR 1863 INETRIOR 301-B , GUADALUPE INN , CDMX, MEXICO",-99.1853507,19.3550613,"interior 301-b, insurgentes sur 1863, guadalupe inn, 01020 ciudad de méxico, cdmx, mexico"
"0059-2016",7,"DOCTOR ERAZO 85-108 , DOCTORES , CDMX, MEXICO",-99.14808,19.4182608,"calle dr erazo 85, doctores, 06720 ciudad de méxico, cdmx, mexico"
"0060-2011",1,"AVENIDA REVOLUCION 1181 SEGUNDO PISO , MERCED GOMEZ , CDMX, MEXICO",-99.189298,19.3638998,"av. revolución 1181, merced gómez, 03930 ciudad de méxico, cdmx, mexico"
"0060-2011",3,"AVENIDA TOLUCA 893 CASA 3 , OLIVAR DE LOS PADRE , CDMX, MEXICO",-99.2237071,19.3375611,"av toluca 893, olivar de los padres, 01780 ciudad de méxico, cdmx, mexico"
"0060-2011",4,"NUEVA TABACHIN 20 , TLALTENANGO , CDMX, MEXICO",-99.243159,18.9508887,"calle tabachin 20, tlaltenango, 62170 cuernavaca, mor., mexico"
"0060-2011",5,"ACACIAS 219 , TLALTENANGO , CDMX, MEXICO",-99.2111541,19.4681076,"tlaltenango, mexico"
"0060-2011",7,"AVENIDA FERNANDO 99 , ALAMOS , CDMX, MEXICO",-99.1403726,19.3994637,"av. fernando 99, álamos, 03400 ciudad de méxico, cdmx, mexico"
"0060-2012",1,"AÑIL 571 PISO 2 , GRANJAS MEXICO , CDMX, MEXICO",NA,NA,NA
"0060-2012",7,"DOCTOR ERAZO 85 715 , DOCTORES , CDMX, MEXICO",-99.14808,19.4182608,"calle dr erazo 85, doctores, 06720 ciudad de méxico, cdmx, mexico"
"0060-2013",1,"TECOYOTITLA 310 , FLORIDA , CDMX, MEXICO",-99.1847346,19.3524769,"tecoyotitla 310, florida, 01030 ciudad de méxico, cdmx, mexico"
"0060-2013",2,"AVENIDA NUEVO LEON 2 , CONDESA , CDMX, MEXICO",-99.1695905,19.4160681,"av nuevo león 2, condesa, 06100 ciudad de méxico, cdmx, mexico"
"0060-2013",3,"AVENIDA NUEVO LEON 4 , HIPODROMO CONDESA , CDMX, MEXICO",-99.1697042,19.4159818,"av nuevo león 4, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0060-2013",7,"ALFORES 1166 INTERIOR SEIS , DEL VALLE , CDMX, MEXICO",-99.1649891,19.3817299,"colonia del valle, ciudad de méxico, cdmx, mexico"
"0060-2016",1,"AVENIDA ERMITA IZTAPALAPA 1478 , BARRIO SAN MIGUEL , CDMX, MEXICO",-99.084627,19.3558918,"ermita iztapalapa 1478, san miguel, 09360 ciudad de méxico, cdmx, mexico"
"0060-2016",6,"AVENIDA INSTITUTO POLITECNICO NACIONAL 5421 EDIFICIO 3 PLANTA BAJA , MAGDALENA DE LAS SALINAS , CDMX, MEXICO",-99.134806,19.481317,"edificio 3, av instituto politécnico nacional 5421, magdalena de las salinas, 07760 ciudad de méxico, cdmx, mexico"
"0060-2016",7,"AVENIDA EJE CENTRAL LAZARO CARDENAS 280 DESPACHO 202 , GUERRERO , CDMX, MEXICO",-99.1425453,19.4260904,"avenida, eje central lázaro cárdenas numero 13, doctores, 06720 ciudad de méxico, cdmx, mexico"
"0061-2012",1,"AÑIL 571 PISO 2 , GRANJAS MEXICO , CDMX, MEXICO",NA,NA,NA
"0061-2012",7,"DOCTOR ERAZO 85-715 , DOCTORES , CDMX, MEXICO",-99.14808,19.4182608,"calle dr erazo 85, doctores, 06720 ciudad de méxico, cdmx, mexico"
"0063-2016",1,"AVENIDA DE LOS INSURGENTES SUR 2375 , TIZAPAN SAN ANGEL , CDMX, MEXICO",-99.1898545,19.3417802,"av de los insurgentes sur 2375, san ángel, 01000 ciudad de méxico, cdmx, mexico"
"0063-2016",7,"AVENIDA JUAREZ 97 SEXTO PISO DESPACHO 603 , CENTRO , CDMX, MEXICO",-99.1569589,19.3551724,"calle paris 35a, del carmen, 04100 ciudad de méxico, cdmx, mexico"
"0064-2015",1,"DURANGO 263 INTERIOR 4 , ROMA NORTE , CDMX, MEXICO",-99.1703307,19.4194607,"interior 4, calle de durango 263, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0064-2015",7,"AVENIDA PACIFICO 243 DESPACHO 6 CASI ESQUINA CON MIGUEL ANGEL DE QUEVEDO , PUEBLO DE LOS REYES , CDMX, MEXICO",-99.1529231,19.3400361,"av pacífico 243, los reyes, 04330 ciudad de méxico, cdmx, mexico"
"0067-2016",1,"TIHUATLAN 15 INTERIOR 601 , SAN JERONIMO ACUALCO , CDMX, MEXICO",-99.2222365,19.3181811,"interior 601, tihuatlán 15, san jerónimo aculco, 10400 ciudad de méxico, cdmx, mexico"
"0067-2016",7,"PROCURADURIA ,  , CDMX, MEXICO",-99.1609623,19.3811467,"calle j. enrique pestalozzi 1115, col del valle centro, 03100 ciudad de méxico, cdmx, mexico"
"0068-2014",1,"AVENIDA CENTENARIO 1870 , ATZACOALCO , CDMX, MEXICO",-99.0992971,19.4943215,"av. centenario 1870, pueblo de santiago atzacoalco, 07080 ciudad de méxico, cdmx, mexico"
"0068-2014",7,"AVENIDA PATRIOTISMO 740 , MIXCOAC , CDMX, MEXICO",-99.1858565,19.378656,"avenida patriotismo 740, san juan, 03730 ciudad de méxico, cdmx, mexico"
"0069-2014",1,"MELCHOR MUZQUIZ 27 , SAN MIGUEL CHAPULTEPEC , CDMX, MEXICO",-99.190273,19.4111769,"gobernador melchor muzquiz 27, san miguel chapultepec i secc, 11850 ciudad de méxico, cdmx, mexico"
"0069-2014",7,"AVENIDA SAN ANTONIO ABAD 122 CUARTO PISO , TRANSITO , CDMX, MEXICO",-99.1341976,19.4168051,"calz. san antonio abad 122, tránsito, 06820 ciudad de méxico, cdmx, mexico"
"0070-2016",1,"AHUIZOTL 94 , LA PRECIOSA , CDMX, MEXICO",-99.1926525,19.4869235,"ahuizotl 94, la preciosa, 02460 ciudad de méxico, cdmx, mexico"
"0070-2016",7,"SEISCIENTOS OCHENTA Y UNO 20 , SAN JUAN DE ARAGON , CDMX, MEXICO",-99.083502,19.4614408,"av. josé loreto fabela s/n, pueblo de san juan de aragón, 07969 ciudad de méxico, cdmx, mexico"
"0071-2016",1,"ANICETO ORTEGA 1007-A , DEL VALLE , CDMX, MEXICO",-99.1663407,19.3750676,"aniceto ortega 1007a, col del valle centro, 03100 ciudad de méxico, cdmx, mexico"
"0071-2016",4,"PONIENTE 146 730 , INDUSTRIAL VALLEJO , CDMX, MEXICO",-99.1619238,19.5007983,"poniente 146 730, industrial vallejo, 02300 ciudad de méxico, cdmx, mexico"
"0071-2016",7,"TEZOZOMOC MANZANA 42 LOTE 2 , AMPLIACION LOS REYES CULHUACAN , CDMX, MEXICO",-99.1108836,19.3468342,"lote 2, la manzana 42, los reyes culhuacan, 09840 ciudad de méxico, cdmx, mexico"
"0072-2016",1,"TLACOTALPAN 126 INTERIOR 1 , ROMA SUR , CDMX, MEXICO",-99.1653981,19.4028162,"interior 1, tlacotalpan 126, roma sur, 06760 ciudad de méxico, cdmx, mexico"
"0073-2016",1,"CALZADA SAN LORENZO 64-D , CERRO DE LA ESTRALLA , CDMX, MEXICO",-99.0755901,19.3209755,"av san lorenzo 64, cerro de la estrella, 09860 ciudad de méxico, cdmx, mexico"
"0073-2016",7,"DOCTOR LUCIO 127 DESPACHO 101 , DOCTORES , CDMX, MEXICO",-99.15227,19.420432,"calle dr. lucio 127 desp. 101, doctores, 06720 ciudad de méxico, cdmx, mexico"
"0076-2015",1,"CORREGGIO 81 , CD DE LOS DEPORTES , CDMX, MEXICO",-99.1815732,19.3838468,"correggio 81, cd. de los deportes, 03710 de los deportes, cdmx, mexico"
"0076-2015",4,"AVENIDA INSTITUTO POLITECNICO NACIONAL 1521 , MAGDALENA DE LAS SALINAS , CDMX, MEXICO",-99.1352362,19.4822384,"av instituto politécnico nacional 1521, magdalena de las salinas, 07760 ciudad de méxico, cdmx, mexico"
