"folio","demandado","addresses","lon","lat","geoAddress"
"0076-2015",5,"BARRANCA DEL MUERTO 280 , GUADALUPE INN , CDMX, MEXICO",-99.1861846,19.3612338,"barranca del muerto 280, merced gómez, 01020 ciudad de méxico, cdmx, mexico"
"0076-2015",7,"RIO ELBA 10 DESPACHO 102 B , CUAUHTEMOC , CDMX, MEXICO",-99.1752762,19.4262084,"calle río elba 10, cuauhtémoc, 06500 ciudad de méxico, cdmx, mexico"
"0076-2016",1,"AVENIDA THIERS 248 PISO 7 , ANZURES , CDMX, MEXICO",-99.1819234,19.4359064,"piso 7, av. thiers 248, anzures, 11590 ciudad de méxico, cdmx, mexico"
"0076-2016",7,"DOCTOR NAVARRO 60 MODULO 2 INTERIOR 201 , DOCTORES , CDMX, MEXICO",-99.1465988,19.4203174,"2 interior, dr. j. navarro 60, doctores, 06720 ciudad de méxico, cdmx, mexico"
"0078-2014",1,"MAGDALENA 140 2 , DEL VALLE , CDMX, MEXICO",-99.1649891,19.3817299,"colonia del valle, ciudad de méxico, cdmx, mexico"
"0078-2014",7,"TERCERA CALLE SAN LUIS POTOSI 53 , ROMA NORTE , CDMX, MEXICO",-99.1558549,19.4147516,"san luis potosí 26, roma sur, 06700 ciudad de méxico, cdmx, mexico"
"0083-2012",1,"AVENIDA UNUVERSIDAD 613 , DEL VALLE MEXICO , CDMX, MEXICO",-99.1600797,19.3783066,"av. universidad 613, col del valle centro, 03100 ciudad de méxico, cdmx, mexico"
"0083-2012",2,"ARENAL 24 , CHIMALISTAS , CDMX, MEXICO",-99.1831052,19.3490716,"arenal 24, agrícola, chimalistac, 01050 ciudad de méxico, cdmx, mexico"
"0083-2012",6,"AVENIDA INSTITUTO POLITECNICO NACIONAL 5421 EDIFICIO TRES PLANTA BAJA , CALPUTITLAN , CDMX, MEXICO",-99.134806,19.481317,"av instituto politécnico nacional 5421, magdalena de las salinas, 07760 ciudad de méxico, cdmx, mexico"
"0083-2012",7,"TONALA 303 PRIMER PISO INTERIOR 1 , ROMA SUR , CDMX, MEXICO",-99.1600119,19.407176,"piso interior 1, tonalá 303, roma sur, 06760 ciudad de méxico, cdmx, mexico"
"0086-2015",1,"RIO BAMBA 737 INTERIOR 18 , LINDAVISTA , CDMX, MEXICO",-99.1274998,19.4898363,"interior 18, calle riobamba 737, lindavista, 07300 ciudad de méxico, cdmx, mexico"
"0086-2015",2,"CENTENO 580 , GRANJAS MEXICO , CDMX, MEXICO",-99.1047106,19.4009161,"centeno 580, granjas méxico, 08400 ciudad de méxico, cdmx, mexico"
"0086-2015",3,"CENTENO NUMERO 580 , GRANJAS MEXICO , CDMX, MEXICO",-99.1047106,19.4009161,"centeno 580, granjas méxico, 08400 ciudad de méxico, cdmx, mexico"
"0086-2015",7,"ORIENTE TREINTA Y TRES 8 , PEÑON DE LOS BAÑOS , CDMX, MEXICO",NA,NA,NA
"0087-2016",1,"CAMINO REAL A TOLUCA 150 A-2 , BELLAVISTA , CDMX, MEXICO",-99.1967297,19.3936849,"camino real de toluca 150, josé maría pino suárez, 01140 ciudad de méxico, cdmx, mexico"
"0087-2016",7,"AVENIDA GABRIEL MANCERA 1514 INTERIOR 305 , DEL VALLE , CDMX, MEXICO",-99.1679867,19.3708511,"interior 305, calle gabriel mancera 1514, col del valle sur, 03100 ciudad de méxico, cdmx, mexico"
"0090-2016",1,"VALENCIA 9 INTERIOR 504 , INSURGENTES MIXCOAC , CDMX, MEXICO",-99.179702,19.372675,"valencia 9 oficina 504, insurgentes mixcoac, 10400 ciudad de méxico, cdmx, mexico"
"0092-2016",1,"AVENIDA DESIERTO DE LOS LEONES 4215 , ATLAMAYA , CDMX, MEXICO",-99.2063999,19.3469002,"calz. desierto de los leones 4215, flor de maría, 01760 ciudad de méxico, cdmx, mexico"
"0097-2016",1,"DIANA 27 , NUEVA INDUSTRIA VALLEJO , CDMX, MEXICO",-99.1468692,19.5000914,"diana 27, nueva industrial vallejo, 07700 ciudad de méxico, cdmx, mexico"
"0097-2016",7,"ESTRADOS ,  , CDMX, MEXICO",-99.1430379,19.2836881,"kawasaki 3, guadalupe, 14388 ciudad de méxico, cdmx, mexico"
"0099-2016",1,"INSURGENTES SUR 619, DESPACHO 601 , NAPOLES , CDMX, MEXICO",-99.1719438,19.3965022,"insurgentes sur 619 102, nápoles, 03810 ciudad de méxico, cdmx, mexico"
"0099-2016",2,"SAN LORENZO 712, EDIFICIO F, PLANTA BAJA Y EDIFICIO D, SEGUNDO PISO , DEL VALLE , CDMX, MEXICO",-99.1685022,19.3740319,"san lorenzo 712, col del valle sur, 03100 ciudad de méxico, cdmx, mexico"
"0099-2016",7,"MONTE ELBRUZ 37, PISO 3 , POLANCO TERCERA SECCION , CDMX, MEXICO",-99.2047939,19.4297422,"piso 3, calle monte elbruz 37, lomas de chapultepec v secc, 11000 ciudad de méxico, cdmx, mexico"
"0103-2016",1,"RIO MARNE 17, DESPACHO 401 , CUAUHTEMOC , CDMX, MEXICO",-99.1614703,19.431075,"río marne 17, col. renacimiento, cuauhtémoc, 06500 ciudad de méxico, cdmx, mexico"
"0103-2016",2,"AVENIDA BENJAMIN FRANKLIN 98, TERCER PISO , ESCANDON , CDMX, MEXICO",-99.179495,19.4059994,"avenida benjamín franklin 98, miguel hidalgo, escandón i secc, 11800 ciudad de méxico, cdmx, mexico"
"0103-2016",7,"LOPEZ 34, DESPACHO 11, ESQUINA CALLE ARTICULO 123 , CENTRO , CDMX, MEXICO",-99.145766,19.4326637,"calle artículo 123, colonia centro, centro, 06000 ciudad de méxico, cdmx, mexico"
"0106-2014",1,"PROLONGACION PERIFERICO 2304 , PARQUE INDUSTRIAL CINSA , CDMX, MEXICO",-99.133208,19.4326077,"mexico city, cdmx, mexico"
"0106-2014",2,"PERIFERICO SUR 6677 PISO 1 , EJIDOS DE TEPEPAN , CDMX, MEXICO",-99.1335117,19.2824727,"periferico sur 6677, san bartolo el chico, 16018 ciudad de méxico, cdmx, mexico"
"0106-2014",7,"AVENIDA INSURGENTES 23 DESPACHO 401 , SAN RAFAEL , CDMX, MEXICO",-99.1348709,19.4366294,"despacho 401, calle palma nte. 414, centro, 06000 ciudad de méxico, cdmx, mexico"
"0106-2016",1,"QUINTANA ROO 65 , ROMA SUR , CDMX, MEXICO",-99.1665803,19.4052801,"quintana roo 65, roma sur, 06760 ciudad de méxico, cdmx, mexico"
"0106-2016",7,"DOCTOR ERAZO 58 QUINTO PISO DESPACHO 502 , DOCTORES , CDMX, MEXICO",-99.1466144,19.4178652,"calle dr erazo 58, doctores, 06720 ciudad de méxico, cdmx, mexico"
"0109-2015",1,"PROLONGACION INGENIEROS MILITARES 146-A; AVENIDA INSURGENTES NORTE 1894 PISO 4 , SAN LORENZO TLALTENANGO; LINDAVISTA , CDMX, MEXICO",-99.1184826,19.5004905,"1894 piso, av. insurgentes nte. 146, sta maría la ribera, 07369 ciudad de méxico, cdmx, mexico"
"0109-2015",7,"BUCARELI 158 , CENTRO , CDMX, MEXICO",-99.1530313,19.427057,"bucareli 158, colonia centro, juárez, 06040 ciudad de méxico, cdmx, mexico"
"0112-2015",1,"FLOR DE DALIA MANZANA 32 LOTE 16 , LOMAS DE SAN LORENZO , CDMX, MEXICO",-99.0620526,19.3179209,"flor de dalia 52, lomas de san lorenzo, 09780 ciudad de méxico, cdmx, mexico"
"0112-2015",7,"AVENIDA RIO DE LA LOZA 233 DESPACHO 301 , DOCTORES , CDMX, MEXICO",-99.1518096,19.4259333,"av. dr. río de la loza 233, doctores, 06720 distrito federal, cdmx, mexico"
"0113-2015",1,"LAGO BOLSENA 277; INSURGENTES SUR 1898 PISO 3 , ANAHUAC; FLORIDA , CDMX, MEXICO",-99.1855267,19.4458723,"lago bolsena, ciudad de méxico, cdmx, mexico"
"0113-2015",7,"SUR 103 A 546 INT 4 , SECTOR POPULAR , CDMX, MEXICO",-99.1186988,19.365327,"int 4, sur 103-a 546, popular, 09230 ciudad de méxico, cdmx, mexico"
"0114-2015",1,"EJERCITO NACIONAL 579 DECIMO PISO A , GRANADA , CDMX, MEXICO",-99.1934529,19.4383826,"piso a, av ejército nacional 579, granada, 11520 ciudad de méxico, cdmx, mexico"
"0114-2015",2,"DIVISION DEL NORTE 521 INTERIOR 305 , DEL VALLE , CDMX, MEXICO",-99.1654432,19.3915809,"interior 305, av. division del nte. 521, col del valle nte, 03100 del valle nte, cdmx, mexico"
"0114-2015",3,"DIVISION DEL NORTE 521 INTERIOR 305, EJERCITO NACIONAL 579 DECIMO PISO A , DEL VALLE ; GRANADA , CDMX, MEXICO",-99.1654432,19.3915809,"piso a, av. division del nte. 521, col del valle nte, 03100 del valle nte, cdmx, mexico"
"0114-2015",7,"AV DOCTOR JOSE MARIA VERTIZ 101 DESPACHO 101 , DOCTORES , CDMX, MEXICO",-99.1470719,19.4224043,"dr josé maría vertiz 101, doctores, 06720 ciudad de méxico, cdmx, mexico"
"0116-2011",1,"FRANCISCO CESAR MORALES MANZANA CIENTO TREINTA Y CUATRO 1070, AVENIDA VICENTE VILLADA 642 , AMPLIACION SANTA MARTHA ACATITLA NORTE, BENITO JUAREZ , CDMX, MEXICO",-99.0151394,19.3746248,"francisco cesar morales, ciudad de méxico, cdmx, mexico"
"0116-2011",7,"AVENIDA INSURGENTES SUR 1673 DESPACHO QUINIENTOS UNO QUINTO PISO EDIFICIO ATOYAC , GUADALUPE INN , CDMX, MEXICO",-99.183178,19.361501,"insurgentes sur 1673, guadalupe inn, 01020 ciudad de méxico, cdmx, mexico"
"0116-2016",1,"AZAFRAN 581 , GRANJAS MEXICO , CDMX, MEXICO",-99.0941066,19.4001129,"azafrán 581, granjas méxico, 08400 ciudad de méxico, cdmx, mexico"
"0116-2016",7,"DE LA CONSTITUCION 40 , ESCANDON , CDMX, MEXICO",-99.1813826,19.4022569,"calle de la constitución 40, escandón i secc, 11800 ciudad de méxico, cdmx, mexico"
"0117-2014",1,"PASEO DE LA REFORMA 389 , JUAREZ , CDMX, MEXICO",-99.173577,19.4237796,"av. paseo de la reforma 389, juárez, 06600 ciudad de méxico, cdmx, mexico"
"0117-2014",7,"CALZADA DE TLALPAN 489 DESPACHO 100 , ALAMOS , CDMX, MEXICO",-99.1375946,19.3995692,"calz. de tlalpan 489, álamos, 03400 ciudad de méxico, cdmx, mexico"
"0118-2014",1,"HEROE DE NACOZARI 54 , MORELOS , CDMX, MEXICO",-99.1197836,19.436147,"héroe de nacozari 54, penitenciaría, 15350 ciudad de méxico, cdmx, mexico"
"0118-2014",7,"CALZADA SAN ANTONIO ABAD 122 4TO PISO , TRANSITO , CDMX, MEXICO",-99.1341976,19.4168051,"4to piso, calz. san antonio abad 122, tránsito, 06820 ciudad de méxico, cdmx, mexico"
"0120-2014",1,"AVENIDA CONSCRIPTO 311 A , LOMAS DE SOTELO , CDMX, MEXICO",-99.2243506,19.4396646,"centro banamex, av. del conscripto 311, lomas de sotelo, hipódromo de las américas, 11200 ciudad de méxico, méx., mexico"
"0120-2014",7,"SAN ANTONIO ABAD 122 PISO 4 , TRANSITO , CDMX, MEXICO",-99.1341976,19.4168051,"piso 4, calz. san antonio abad 122, tránsito, 06820 ciudad de méxico, cdmx, mexico"
"0120-2015",1,"BOULEVARD ADOLFO LOPEZ MATEOS 282 , SAN PEDRO DE LOS PINOS , CDMX, MEXICO",-99.1900119,19.3892879,"blvd. adolfo lópez mateos 282, san pedro de los pinos, 01180 ciudad de méxico, cdmx, mexico"
"0120-2015",7,"ISABEL LA CATOLICA 45 DESPACHO 309 , CENTRO , CDMX, MEXICO",-99.136626,19.4315964,"calle isabel la catolica 45, centro histórico, centro, 06000 ciudad de méxico, cdmx, mexico"
"0126-2015",1,"AVENIDA JALISCO ESQUINA CARLOS LAZO , TACUBAYA , CDMX, MEXICO",-99.1877181,19.4022489,"av. jalisco & arquitecto carlos lazo, tacubaya, 11870 ciudad de méxico, cdmx, mexico"
"0126-2015",2,"AVENIDA VASCO DE QUIROGA 655 , CUEVITAS , CDMX, MEXICO",-99.2284558,19.3846994,"vasco de quiroga 655, estrella, 01220 ciudad de méxico, cdmx, mexico"
"0126-2015",4,"AVENIDA JALISCO ESQUINA CARLOS LAZO; AVENIDA VASCO DE QUIROGA 655 , TACUBAYA; CUEVITAS , CDMX, MEXICO",-103.3494376,20.6595382,"jalisco, mexico"
"0126-2015",7,"AVENIDA ALVARO OBREGON 186 , ROMA , CDMX, MEXICO",-99.163324,19.4172372,"av. álvaro obregón 186, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0127-2015",1,"GALILEO GALILEI 4156 INTERIOR 1 , ARBOLEDAS , CDMX, MEXICO",-103.4275394,20.6284516,"interior 1, galileo galilei 4156, arboledas, 45070 zapopan, jal., mexico"
"0127-2015",2,"LA FONTAINE 92 INTERIOR 1 , POLANCO CHAPULTEPEC , CDMX, MEXICO",-99.1985582,19.431343,"interior 1, lafontaine 92, polanco, polanco iii secc, 11550 ciudad de méxico, cdmx, mexico"
"0127-2015",3,"GALILEO GALILEI NUMERO 4156 INTERIOR 1 ; LA FONTAINE 92 INTERIOR 1 , ARBOLEDAS; POLANCO CHAPULTEPEC , CDMX, MEXICO",-99.2649154,19.3213641,"numero 4156 interior 1, arboledas 1, tlacoyaque, 01859 ciudad de méxico, cdmx, mexico"
"0127-2015",7,"PRADO NORTE 155 , LOMAS DE CHAPULTEPEC , CDMX, MEXICO",-99.2065968,19.4276942,"avenida prado norte 155, lomas - virreyes, lomas de chapultepec iii secc, 11000 ciudad de méxico, cdmx, mexico"
"0132-2016",1,"AVENIDA CHAPULTEPEC 442; PATRIOTISMO 735 , ROMA: MIXCOAC , CDMX, MEXICO",-99.1696348,19.421846,"av chapultepec 442, roma nte., 06700 ciudad de méxico, cdmx, mexico"
"0132-2016",7,"FRANCISCO DIAZ COVARRUBIAS 60 INTERIOR 6 , SAN RAFAEL , CDMX, MEXICO",-99.1659787,19.4368474,"interior 6, calle de francisco díaz covarrubias 60, san rafael, 06470 ciudad de méxico, cdmx, mexico"
"0133-2016",1,"MONTECITO 38 PISO 1 OFICINA 33 , NAPOLES , CDMX, MEXICO",-99.1744778,19.3936677,"piso 1 oficina 33, montecito 38, nápoles, 03810 ciudad de méxico, cdmx, mexico"
"0133-2016",7,"IGNACIO MARISCAL 32 SEGUNDO PISO DESPACHO 203 , TABACALERA , CDMX, MEXICO",-99.150449,19.437127,"ignacio mariscal #32 piso 2, despacho 203 cuauhtémoc esquina con jesús terán, tabacalera, 06030 ciudad de méxico, mexico"
"0134-2014",1,"SAN LORENZO 279 INTERIOR 10 , SAN NICOLAS TOLENTINO , CDMX, MEXICO",-99.0754643,19.3290562,"av. san lorenzo 279, bodegas 37 y 38, san nicolas tolentino, cerro de la estrella, 09850 ciudad de méxico, cdmx, mexico"
"0134-2014",7,"AVENIDA ARCOS DE BELEN 37 EDIFICIO I DESPACHO 305 , CENTRO , CDMX, MEXICO",-99.1449543,19.4272458,"av arcos de belén 37, colonia centro, centro, 06000 centro, cdmx, mexico"
"0134-2016",1,"ALICANTE 127 , ALAMOS , CDMX, MEXICO",-99.145064,19.3922068,"alicante 127, postal, 03410 ciudad de méxico, cdmx, mexico"
"0134-2016",2,"ALICANTE 127-1 , ALAMOS , CDMX, MEXICO",-99.145064,19.3922068,"alicante 127, postal, 03410 ciudad de méxico, cdmx, mexico"
"0134-2016",7,"AVENIDA REFORMA 93 , SAN LORENZO TEZONCO , CDMX, MEXICO",-99.068534,19.3208558,"av. reforma 93, lomas de san lorenzo, 09780 ciudad de méxico, cdmx, mexico"
"0135-2016",1,"EUROPA 23 , BARRIO LA CONCEPCION , CDMX, MEXICO",-99.1568924,19.3433409,"europa 23, barrio del niño jesús, 04330 ciudad de méxico, cdmx, mexico"
"0135-2016",7,"DONATO GUERRA 01 DESPACHO 312 , JUAREZ , CDMX, MEXICO",-99.1509364,19.433341,"donato guerra 1, juárez, 06600 ciudad de méxico, cdmx, mexico"
"0137-2014",1,"BOSQUES DE CIRUELOS 194 , BOSQUES DE LAS LOMAS , CDMX, MEXICO",-99.239371,19.4055274,"bosque de los ciruelos 194, bosque de las lomas, 11700 ciudad de méxico, cdmx, mexico"
"0137-2014",7,"INSURGENTES SUR 105 PISO 14 , JUAREZ , CDMX, MEXICO",-99.162384,19.425475,"piso 14, insurgentes sur 105, roma sur, 06600 ciudad de méxico, cdmx, mexico"
"0139-2015",1,"VEINTIOCHO 90 A , FEDERAL , CDMX, MEXICO",-99.0920049,19.4246173,"calle 28 90a, federal, 15700 ciudad de méxico, cdmx, mexico"
"0139-2015",2,"AVENIDA EJERCITO NACIONAL 579 PISO 5 , GRANADA , CDMX, MEXICO",-99.1934529,19.4383826,"piso 5, av ejército nacional 579, granada, 11520 ciudad de méxico, cdmx, mexico"
"0139-2015",7,"RIO PO 39 PLANTA BAJA INTERIOR A , CUAUHTEMOC , CDMX, MEXICO",-99.1696711,19.4320274,"interior a, calle río po 39, cuauhtémoc, 06500 ciudad de méxico, cdmx, mexico"
"0140-2016",1,"AVENIDA EJERCITO NACIONAL 5 , VERONICA ANZURES , CDMX, MEXICO",-99.1726448,19.4327629,"av ejército nacional 5, verónica anzúres, 11300 ciudad de méxico, cdmx, mexico"
"0140-2016",7,"BUCARELI 158 , CENTRO , CDMX, MEXICO",-99.1530313,19.427057,"bucareli 158, colonia centro, juárez, 06040 ciudad de méxico, cdmx, mexico"
"0143-2016",1,"MARINA NACIONAL 157 , ANAHUAC , CDMX, MEXICO",-99.1812097,19.4462318,"av. marina nacional 157, mariano escobedo, 11320 ciudad de méxico, cdmx, mexico"
